,CohortWeek,CohortIndex,user_pseudo_id
0,41,0,370
1,41,1,173
2,41,2,131
3,41,3,114
4,41,4,110
5,41,5,99
6,41,6,91
7,41,7,92
8,41,8,80
9,42,0,177
10,42,1,54
11,42,2,38
12,42,3,33
13,42,4,37
14,42,5,30
15,42,6,31
16,42,7,27
17,43,0,2078
18,43,1,908
19,43,2,679
20,43,3,588
21,43,4,525
22,43,5,472
23,43,6,432
24,44,0,3381
25,44,1,1560
26,44,2,1145
27,44,3,993
28,44,4,892
29,44,5,812
30,45,0,3014
31,45,1,1199
32,45,2,931
33,45,3,804
34,45,4,710
35,46,0,1763
36,46,1,717
37,46,2,549
38,46,3,460
39,47,0,1590
40,47,1,660
41,47,2,490
42,48,0,1511
43,48,1,591
44,49,0,1325
