store,date,baguette,oil,tomato,pickle,cheese,sauce,bacon,sausage,pepperoni,chicken,water,soda
store_0,2021-05-14,69.0,258.0,274.0,274.0,433.0,585.0,364.0,274.0,184.0,120.0,146,109
store_1,2021-05-14,98.0,348.0,247.0,247.0,246.0,368.0,148.0,247.0,92.0,152.0,145,82
store_2,2021-05-14,19.0,152.0,45.0,45.0,34.0,92.0,15.0,45.0,2.0,114.0,43,39
store_3,2021-05-14,10.0,42.0,39.0,39.0,67.0,97.0,57.0,39.0,38.0,22.0,22,5
store_4,2021-05-14,70.0,244.0,200.0,200.0,262.0,386.0,192.0,200.0,144.0,104.0,1,214
store_5,2021-05-14,174.0,360.0,514.0,514.0,642.0,784.0,468.0,514.0,272.0,12.0,120,431
store_6,2021-05-14,71.0,266.0,198.0,198.0,240.0,359.0,169.0,198.0,114.0,124.0,198,71
store_7,2021-05-14,123.0,526.0,313.0,313.0,392.0,667.0,269.0,313.0,270.0,280.0,144,259
store_8,2021-05-14,74.0,176.0,234.0,234.0,321.0,410.0,247.0,234.0,150.0,28.0,149,198
store_9,2021-05-14,104.0,514.0,270.0,270.0,321.0,567.0,217.0,270.0,186.0,306.0,253,47
store_0,2021-05-15,104.0,494.0,248.0,248.0,253.0,465.0,149.0,248.0,138.0,286.0,268,233
store_1,2021-05-15,90.0,190.0,212.0,212.0,298.0,447.0,208.0,212.0,288.0,10.0,145,25
store_2,2021-05-15,35.0,96.0,98.0,98.0,99.0,120.0,64.0,98.0,16.0,26.0,57,1
store_3,2021-05-15,6.0,62.0,19.0,19.0,41.0,87.0,35.0,19.0,42.0,50.0,26,48
store_4,2021-05-15,7.0,158.0,171.0,171.0,339.0,429.0,332.0,171.0,36.0,144.0,245,63
store_5,2021-05-15,98.0,264.0,383.0,383.0,635.0,832.0,537.0,383.0,326.0,68.0,169,295
store_6,2021-05-15,65.0,192.0,236.0,236.0,320.0,394.0,255.0,236.0,86.0,62.0,96,25
store_7,2021-05-15,209.0,508.0,481.0,481.0,484.0,678.0,275.0,481.0,298.0,90.0,416,30
store_8,2021-05-15,65.0,274.0,181.0,181.0,229.0,363.0,164.0,181.0,124.0,144.0,149,128
store_9,2021-05-15,168.0,372.0,486.0,486.0,545.0,640.0,377.0,486.0,154.0,36.0,177,165
store_0,2021-05-16,73.0,232.0,284.0,284.0,452.0,598.0,379.0,284.0,206.0,86.0,163,86
store_1,2021-05-16,85.0,170.0,268.0,268.0,368.0,455.0,283.0,268.0,174.0,0.0,19,12
store_2,2021-05-16,30.0,116.0,81.0,81.0,78.0,112.0,48.0,81.0,12.0,56.0,76,20
store_3,2021-05-16,13.0,90.0,28.0,28.0,30.0,75.0,17.0,28.0,26.0,64.0,47,11
store_4,2021-05-16,82.0,166.0,291.0,291.0,380.0,425.0,298.0,291.0,88.0,2.0,28,20
store_5,2021-05-16,161.0,520.0,401.0,401.0,461.0,702.0,300.0,401.0,284.0,198.0,32,315
store_6,2021-05-16,84.0,270.0,240.0,240.0,265.0,353.0,181.0,240.0,74.0,102.0,196,110
store_7,2021-05-16,177.0,492.0,437.0,437.0,479.0,684.0,302.0,437.0,272.0,138.0,244,132
store_8,2021-05-16,42.0,104.0,207.0,207.0,363.0,448.0,321.0,207.0,150.0,20.0,207,7
store_9,2021-05-16,65.0,428.0,264.0,264.0,397.0,610.0,332.0,264.0,128.0,298.0,347,354
store_0,2021-05-17,29.0,106.0,302.0,302.0,577.0,661.0,548.0,302.0,120.0,48.0,170,290
